Word,Score
industri,0.39
toll,0.3496
corpor,0.3446
staff,0.3246
systemsaccess,0.324
opportunitiestol,0.3154
environ,0.2993
morganc,0.2785
career,0.2766
technolog,0.2697
linessystemsaccess,0.2696
resourc,0.2682
employe,0.2538
customersinc,0.2533
technic,0.2519
networkingfir,0.2519
integr,0.2473
mainten,0.2434
citiescounti,0.2432
dc,0.2414
sinc,0.2385
access,0.2374
build,0.237
maintain,0.237
train,0.236
educ,0.2349
intercomsecurityvideo,0.2346
idcatv,0.2323
system,0.2295
craftsmen,0.2256
officeth,0.2221
solutionsark,0.2221
condominium,0.2212
unit,0.2209
servic,0.2206
skill,0.2206
invoic,0.2205
evacu,0.2197
custom,0.2185
paramount,0.2185
ave,0.2185
ark,0.2174
retrievalnurs,0.2155
miner,0.2145
branch,0.2143
standardsher,0.2137
morgan,0.2134
servedark,0.2127
counti,0.2119
satisfi,0.2113
