Word,Score
servic,0.3377
customerswork,0.3259
alarm,0.3193
demand,0.2641
partnership,0.2575
fire,0.2382
secur,0.2378
client,0.2068
system,0.2045
construct,0.1883
solut,0.188
custom,0.1856
specialti,0.1853
welcom,0.1849
princip,0.1833
llc,0.1779
expertis,0.177
protect,0.1719
cctv,0.1691
call,0.1627
follow,0.1624
principalsput,0.1567
first,0.1557
qualiti,0.1544
roadnorth,0.146
honeywel,0.1409
design,0.1327
oper,0.1316
perform,0.1316
build,0.1296
recipi,0.1265
technic,0.1243
road,0.1236
emerg,0.1202
post,0.1135
relationship,0.1102
answer,0.1085
put,0.1067
ct,0.1057
award,0.1034
commit,0.1016
work,0.0966
safe,0.0955
develop,0.0907
power,0.0891
firstbuild,0.0855
longstand,0.0767
last,0.0744
core,0.0743
outstand,0.0735
