Word,Score
firefighterpghcom,0.4548
technician,0.3831
tech,0.3437
industri,0.3204
personnel,0.2879
fire,0.272
technic,0.2712
survey,0.2576
servic,0.2571
staff,0.2477
entri,0.2467
administr,0.2458
rebuild,0.2393
pittsburgh,0.2381
employe,0.2376
profession,0.2346
corpor,0.2308
repair,0.229
proxim,0.2289
firelit,0.2286
field,0.228
crew,0.2273
role,0.2254
welltrain,0.22
experienc,0.2195
skill,0.2186
workmanship,0.2174
competit,0.2146
workplac,0.2146
manufactur,0.2135
maintain,0.2097
safeti,0.2085
inspect,0.204
certifi,0.2014
commiss,0.2013
expert,0.2002
job,0.1961
medic,0.1948
appoint,0.1927
technolog,0.1921
perform,0.1894
complianc,0.189
sharpsburg,0.1883
serv,0.1874
join,0.1867
fleet,0.186
paperwork,0.1859
distribut,0.185
comput,0.1849
practic,0.1838
