Word,Score
alarm,0.3122
fire,0.3079
protect,0.3046
custom,0.2785
prevent,0.2766
technician,0.2746
sprinkler,0.2598
safeti,0.259
builderstylescss,0.256
servic,0.2465
maintain,0.2365
system,0.2296
manufactur,0.2222
design,0.2209
inspect,0.2161
administr,0.2111
staff,0.2101
suppress,0.206
industri,0.2028
knowledg,0.2003
code,0.1981
extinguish,0.196
themifybuilderstyl,0.1938
extens,0.1912
expert,0.1872
idx,0.1862
chanc,0.1859
involv,0.181
backflow,0.1735
field,0.1734
safe,0.1732
aindex,0.1708
need,0.1703
those,0.1694
standard,0.1678
applic,0.1672
bindex,0.166
special,0.1658
choic,0.1651
respons,0.1623
exit,0.1615
var,0.1613
leadership,0.1607
solut,0.1602
prepar,0.1593
instal,0.1579
light,0.1573
everi,0.155
done,0.1532
integr,0.1521
