Word,Score
sprinkler,0.2845
alarm,0.2516
fire,0.2327
servic,0.23
elementor,0.2229
elementorstarr,0.2042
maintain,0.1963
serv,0.1878
build,0.1865
system,0.1835
busi,0.1822
elementorcolumn,0.1747
protect,0.1724
join,0.1686
area,0.1659
carolina,0.1658
elementorpro,0.1638
salari,0.1631
bonus,0.1585
street,0.1542
livesw,0.1501
form,0.1481
parti,0.1476
team,0.1476
rang,0.1474
residenti,0.1453
design,0.1448
entir,0.1444
locallyown,0.1442
contribut,0.1436
need,0.1413
inspect,0.1399
repair,0.137
option,0.134
elementorbutton,0.1327
knowledg,0.131
oper,0.1292
offer,0.1279
employ,0.1273
class,0.1258
style,0.1258
career,0.1218
profession,0.1215
anyon,0.1179
cover,0.1178
more,0.117
project,0.1155
benefit,0.1153
see,0.1152
fill,0.1133
