Word,Score
contractor,0.3772
industri,0.3732
resourc,0.2649
process,0.2631
supplier,0.2477
form,0.2462
servic,0.2373
employ,0.2362
necessari,0.2324
expertis,0.2253
technolog,0.2191
solv,0.2129
select,0.2104
avail,0.2084
employe,0.2074
mill,0.207
traffic,0.2026
depot,0.1992
involv,0.1972
accomplish,0.1969
maintain,0.1965
contract,0.1917
panel,0.191
system,0.1903
budget,0.1901
project,0.189
program,0.1869
work,0.1845
warranti,0.1843
overview,0.183
government,0.1812
websit,0.1803
inform,0.1797
specialti,0.1782
citi,0.1755
web,0.173
ensur,0.1727
built,0.1726
technic,0.172
compani,0.169
basi,0.1675
buildingconstruct,0.1665
solut,0.1645
data,0.1607
equip,0.1595
safeti,0.1578
perform,0.157
integr,0.1555
custom,0.1552
partner,0.1545
