Word,Score
sound mask,0.06932413345863549
certifi inspect team,0.0642648169667909
optionsbda rf survey,0.05777159033272229
ip camera,0.05755876040299036
bda system,0.056794538145461426
devic,0.05554851436653159
compani,0.054709372802351317
system uniqu channel simultan,0.05414444011274614
fire regular clean kitchen hood,0.053410613408978014
insur compani,0.05252914377334732
protect system,0.05243726563482347
sprinkler system,0.05212975661264299
jquerythisattrsrc undefin true fals,0.049063712732754707
twoway communic system,0.04881598769535794
infopsa nation,0.048804538218748736
secur deliv packag,0.04869159750700522
veri pleas servic,0.048303693803005254
camera video surveil network,0.04821831827740837
high contrast lcd display,0.047483180578273707
provid custom design specif,0.04729807748798784
window oper system chang,0.046668077952286446
unit,0.046657170886416285
central station nfpa fire code,0.04568668809603171
system,0.04560595643004539
kitchen facil,0.045483593336504514
devic need test annual basi,0.04513026445562409
protect system,0.04505234816782933
smaller site,0.04504359816026232
fire alarm manufactur,0.0443948245145886
today schedul servic,0.0439995224538077
optionsbda rf survey,0.04391578623056069
protect system,0.04340664520775695
test,0.0433434915246288
shownbdivif,0.0431346547674975
forefront secur,0.043119194590793816
area,0.04287530733982596
infopsa nation,0.04280276355581195
ip camera,0.04240978437153853
central station nfpa fire code,0.04223757272006442
system,0.04212880413920092
hour pleas,0.041970749342901154
javascript submit data,0.04113060208440138
thank submiss paladin repres,0.041129528277195314
program request fire alarm,0.040846478593999355
difficult task paladin,0.04047746924494165
system weben,0.040187856153457636
bda mainten test,0.04012421693430829
mani offic user,0.039994961905732304
inspect tag,0.03989272558111176
video profession,0.03979751112853963
identifi thermal radar,0.03947010671014514
request bda rf survey,0.0393308349404415
navig,0.0391871354272791
posit adjust screen true content,0.0389180856710816
programcompanyabout paladincustom fire alarm,0.03889712596239399
video current site,0.038791117402832004
right reserv,0.038179168317004936
stadium paladin,0.0379466380879636
scope budget goal,0.037829036457966925
audio video equip time,0.037339007340768206
manag,0.037277564229471996
new construct,0.037073015408759236
infopsa nation,0.03701438997760781
proper reliabl enhanc,0.03698925859873759
budget,0.036988491000501056
chang world secur,0.03681993873228246
optionsbda rf survey,0.0368056160729389
provid user singlepoint access,0.036539539171165536
infopsa nation,0.03610908946095996
program request fire alarm,0.03609371856841266
chang world secur,0.035751086420926254
proper,0.03564834513767135
protect system,0.03560798181230985
complet secur system solut,0.03536140922064223
good communic fire alarm panel,0.03496912943719283
protect system,0.03495751187154448
time,0.03465185821093722
provid mainten,0.03465057470614758
speech nois environ reduc,0.03460973411156003
excit innov solut secur,0.03457779820624737
project,0.0345496990292155
abov pleas,0.03446945269875227
communic panel,0.03440445066552731
programcompanyabout paladincustom fire alarm,0.03440138211770838
need paladin,0.034241481169593684
team,0.034147758644638995
protect system,0.03405771591173693
vari weather condit,0.033950718959771815
program compani,0.0336602463565424
optionsbda rf survey,0.03362399193382059
station monitoringcustom servic videosprofession consultingleas,0.03360621802261504
histor,0.033532691086866594
valuabl asset,0.03351665641548271
access manag site remot,0.033182655806625695
addit requir,0.03287687084560165
servic team,0.032560995891053414
team,0.032420990107944865
wide,0.03232876287141405
camera type hardwar devic system,0.03220996991800821
program request fire alarm,0.032001427511354125
busi offer comprehens portfolio secur,0.03196571722562785
program compani,0.03191849164920464
audio video equip time,0.031758472331391806
servic sale,0.03173889018924109
new technolog,0.03156434981204197
valley view,0.03144950762232131
wireless,0.03144926753426009
central station nfpa fire code,0.03137670751749192
infopsa nation,0.03133180846717544
camera creat,0.031096018865911745
imposs cabl industri alway evolv,0.03104595285035569
direct columbus offic,0.0308950498111204
amazon provid key busi new,0.03075011627869624
touch secur,0.030270939853779738
communic vital safeti,0.030109468939925308
point contact instal servic,0.030092152172693582
state paladin continu,0.030071704080165403
requir field onc,0.029389144903178437
integr fire safeti alarm,0.029298504928076567
station monitoringcustom servic videosprofession consultingleas,0.029230257684007433
budget project,0.029211367664065603
