Word,Score
fire,990304.4388780032
system,507649.9745900735
protect,123840.03833364358
servic,97007.63048110624
industri,89557.47299070886
facil,69408.74272492056
extinguish,65737.85646268351
suppress,46257.13352586811
alarm,44523.17015353094
station,42305.45322551934
gas,40192.65029155896
nfpa,38314.16027790389
encor,34452.45902234835
properti,30984.34824426442
chemic,29809.30922877017
inspect,26997.693734153636
build,26619.93843138112
sprinkler,24114.037191701726
dri,23850.540148739747
center,23624.735191365806
standard,22285.763643390106
data,20263.351552611868
safeti,19860.8429237572
code,19504.403280500213
detect,19096.671182316546
educ,18627.410830943332
solut,18245.207909042707
test,17057.315021323455
busi,15908.02894011851
instal,15795.66594039396
manufactur,15365.524803808667
manag,15278.993012138804
custom,15114.226753014485
campus,14934.831078203622
histor,14903.906556902884
agent,14767.50064298243
equip,13716.523681587043
proper,12741.698328116818
general,12381.05448536152
secur,11601.517524912533
institut,11601.517524912533
call,11165.958978294599
emerg,11112.404899424882
ensur,10710.07966936398
type,10658.20938881888
kitchen,10647.251014243993
clean,10070.783540270208
damag,10039.755087598085
complianc,9599.512715039647
hazard,9213.609421877105
