Word,Score
secur,8839.39063205203
fire,7945.294043553484
alarm,5292.974635563615
servic,4840.712469996286
emerg,3738.5559621657494
call,3738.5559621657494
custom,2898.5904205503452
protect,2851.210036667354
honeywel,2851.210036667354
relationship,2832.7078075039335
award,2796.266228858434
post,2747.8843266405006
windham,2747.8843266405006
client,2729.9979905264145
boston,2694.771306680598
system,1470.965370646613
cctv,1452.0309118898974
demand,1112.7465104441271
qualiti,1112.7465104441271
roadnorth,1112.7465104441271
specialti,1112.7465104441271
design,1112.7465104441271
specialist,1112.7465104441271
superior,1112.7465104441271
technic,1112.7465104441271
expertis,1112.7465104441271
develop,1112.7465104441271
longstand,1112.7465104441271
oper,1112.7465104441271
follow,1112.7465104441271
recipi,1112.7465104441271
partnership,1112.7465104441271
outstand,1112.7465104441271
perform,1112.7465104441271
construct,1112.7465104441271
safe,1112.7465104441271
solut,1105.578459493288
answer,1105.578459493288
llc,1105.578459493288
commit,1105.578459493288
core,1105.578459493288
honest,1105.578459493288
proud,1098.4839267258296
manner,1098.4839267258296
road,1028.929661575809
principalsput,1028.929661575809
firstbuild,1028.929661575809
customerswork,1028.929661575809
welcom,702.7067907087719
power,316.9942289032916
