Word,Score
fire,501452.3713555468
system,129339.69196267259
servic,101012.79257958925
fighter,57498.951012154306
protect,56168.77207840976
instal,43778.66931178886
team,30350.66094023305
offer,29017.096474621823
provid,26212.671562825857
safeti,20952.24750483256
extinguish,20603.274555284293
sprinkler,19647.60468488577
test,17116.65066476705
sale,15671.169066958248
expert,15438.314472841752
compani,15161.726343213013
secur,15133.055692268275
stay,14807.380369745333
facil,14506.927757095316
inspect,14027.993274662327
cloudflar,13930.49016431981
survey,12821.707900103105
emerg,12669.169361239168
requir,11891.087268377345
light,11546.793347117411
industri,9927.610511620383
site,9501.040923930055
custom,8617.151383366318
ensur,8297.494890163656
work,7793.31566110536
equip,7784.853504838081
alarm,7726.724140770206
technician,7477.7248942941915
mainten,7436.108402982068
address,7235.021561372521
properti,7181.3248767324485
sign,7167.097923356218
special,6840.667070387225
profession,6413.980343302551
time,6123.05924141305
staff,5764.956692037524
date,5703.341858691863
exit,5615.3391734874185
websit,5569.091346943291
detect,5526.975937716906
form,5325.247924797811
train,5296.685038427068
function,5273.516099516104
access,5253.190408030717
design,5146.4909487773275
