Word,Score
moduleproslid,78429.62661071497
fire,56296.48719600062
bspslideexcerpt,38410.068279826985
prevent,25943.95683329919
system,21431.945364299823
custom,12246.912411107825
spslidetext,12108.148620529213
bspslideposttitl,12108.148620529213
color,12054.362210858966
technician,9267.246115407774
industri,9125.454839865566
work,8083.022540861272
servic,6571.4506588630975
life,5086.9889676299645
safeti,5079.541081046019
alarm,4738.037976061435
provid,4703.522300930323
make,4601.426872872374
everi,4493.344856166219
chang,4493.344856166219
time,4486.784204263681
suppress,4373.3528171323205
profession,4254.921376177069
var,3727.5906594955395
owner,3691.2836484030217
instal,3607.99563198076
reliabl,3102.1499376225065
ourselv,3013.343805139107
standard,3004.609063384167
solut,2634.159607333674
extinguish,2448.2999423297097
commit,2365.9326835728907
pride,2362.5094888719423
ensur,2362.509488871941
level,2362.509488871941
protect,2348.895373951774
maintain,1936.8162323731365
inspect,1936.8162323731365
wide,1934.0222055163686
emerg,1928.453452990119
monitor,1851.9641859573526
honest,1776.2360995421425
hard,1776.2360995421425
aim,1776.2360995421425
contact,1776.2360995421425
offic,1776.2360995421425
stay,1776.2360995421425
date,1776.2360995421425
rapid,1776.2360995421425
pace,1776.2360995421425
