Word,Score
weld,684362.7522504173
pipe,678562.6434036805
group,240115.78029255307
project,205836.01799656873
build,183340.83002556802
inform,174834.71364939434
ipd,174319.5666344711
integr,174145.30331398407
deliveri,173371.78701244283
bim,162989.34185779872
compani,149114.41883591845
servic,50957.66511579145
state,34821.79612273686
access,34460.65059521512
mani,34380.743981461455
unit,34293.35311460551
term,33012.856697029376
polici,32751.428274099
privaci,32675.367957180286
reserv,32571.932343786175
trademark,32300.832063890735
subsidiari,32181.567351899153
regist,32181.567351899153
countri,32181.567351899153
statement,30809.235936263754
creek,25805.1884475369
oak,25475.952858582477
court,24235.036163262856
anderson,23031.443627049637
center,7980.789431358392
offic,6688.520053799251
locat,5677.578628148875
milwaukeewisconsin,4992.965062111479
system,4481.2512856661815
case,3708.07718233362
studi,3593.199905743283
hvac,3087.5125903743506
instal,2948.6273859925354
hospit,2862.9384801849205
marquett,2710.4875861729097
univers,2647.726102776476
work,2613.4287733353344
medic,2456.590721068192
plumb,2415.990389490837
mechan,2346.8683323020136
content,2257.5822482887215
main,2150.3781713683175
contractor,2121.9495735275723
owner,2097.7209005153113
skip,2085.195834751132
