Word,Score
system,41651.155616325195
communic,26149.015524316124
safeti,13904.369954743612
fire,12083.317036508011
scien,8970.659076653536
respond,8120.939311258092
secur,7175.8567129491
life,6697.530578649119
data,5862.920648001108
emerg,5736.0349340595685
sound,5694.492918998841
solut,3629.13377109766
protect,3342.030398845385
build,3080.3457140389664
integr,2492.4599172703697
busi,2396.4282929542915
design,2327.109741478388
instal,2056.1194126196037
custom,1428.644888267477
alarm,1245.4665344624268
ensur,1214.987495263334
electr,1198.4456197119646
reserv,1167.9847100145264
suppress,1063.2147027396277
case,997.2538828566952
studi,979.9577452604956
industri,927.3580392604471
work,917.7607582211085
properti,844.8177431961581
safe,765.8789009857011
devic,749.5435221781524
import,666.279001452238
time,613.5962915736956
enhanc,574.840371941397
mainten,566.988132628203
safer,539.5284885350295
view,509.3866546777153
workplac,500.86580387515727
effici,500.86580387515727
staff,500.86580387515727
safeguard,476.7613651368679
experi,476.7613651368679
facil,476.7613651368679
detect,462.8764377629961
maintain,461.2559856292948
asset,454.8641182108862
engin,401.51626254875833
reduc,400.1163895355952
compani,400.1163895355952
advanc,383.5587696072721
