Word,Score
system,1728237.9464401065
fire,377050.3097471767
solut,174564.80552877832
secur,113839.57253966271
manag,92401.33785863862
contact,90056.40845130941
today,80855.4956774183
video,73163.26976880053
control,65777.20247140231
code,59770.99190888768
integr,59743.06975486089
ensur,59715.1678041851
build,57836.12348176051
facil,56862.30203248003
communic,55966.27441495013
product,48576.76529031826
custom,47659.7935575235
detect,46860.725995239954
compliant,45165.1631222775
applic,45116.12045008605
provid,45081.14064966635
call,43511.1832984124
nurs,37011.95394104806
emerg,36994.764761297185
protect,36219.25131101151
engin,36174.44739081624
healthcar,35489.718104693005
design,34164.37526732779
assist,33192.70002952756
technolog,30305.664285512685
intercom,30282.27772575308
requir,29727.72440111012
notif,29602.229384616265
includ,26820.51620047526
instal,26808.122627584897
special,26162.89929578647
platform,24845.518432467325
suit,24213.059452891543
team,23540.239836837365
avail,20478.881377704005
surveil,19905.580662816286
oper,19890.307527311677
camera,19311.888776392392
patient,19308.92571205863
correct,19305.963363412073
scalabl,19303.00173022227
commerci,19300.040812258834
campus,19300.040812258834
smoke,19300.040812258827
municip,19297.080609291475
