Word,Score
Suppression_Fire_Suppression,1.0958820179333586e-06
Emergency_Service_Contact,1.15836801105611e-06
Fire_Suppression_System,1.6241596730701561e-06
Ushers_Road,1.999764309378887e-06
Fire_Suppression_Fire,2.919934970153702e-06
fire_suppression,4.637671308695948e-06
Alarm_Systems_Alarm,5.85339920396957e-06
Kitchen_Fire_Suppression,8.108409592754436e-06
Fire_Alarm_System,8.22363049122754e-06
Ballston_Lake,8.571159506182754e-06
fire_alarm,9.933731824892849e-06
Emergency_Service,1.2612012766374887e-05
Suppression,1.4192025096513732e-05
Fire_Extinguishers_Alarm,1.5368245951258738e-05
Hosted_by_Creative,1.6230494840538495e-05
Creative_Visionz,1.6230494840538495e-05
Suppression_Kitchen_Fire,1.8243921583697486e-05
contact_Alarm,1.8585110577899697e-05
Service_Contact,2.131134101335438e-05
ready_to_learn,2.4578157138695594e-05
