Word,Score
Fire_Systems_Fire,1.2437788269505472e-09
fire_suppression_systems,2.1496350641513167e-09
Systems_Fire_Suppression,2.6854299900508944e-09
Service_Station_Systems,3.3382141011903496e-09
fire_protection_systems,9.277393426368818e-09
fire_alarm_system,1.0274901256490044e-08
Dry_Chemical_Systems,1.171210456251212e-08
Station_Systems_Fire,1.4018456276693273e-08
Fire_Safety_Systems,1.738004066443415e-08
Station_Systems_Testing,1.846337620760994e-08
Foam_Based_Systems,2.032333666366216e-08
Fire_Sprinkler_Systems,2.2458000041496463e-08
Services_Fire_Alarms,2.6573983542906848e-08
Clean_Agent_Systems,2.8456825167974722e-08
Fire_Alarm_Services,3.740042128260964e-08
Encore_Fire_Protection,4.4221555529816194e-08
Agent_Fire_Suppression,4.508622442954135e-08
FIRE_PROTECTION_INDUSTRY,6.661582647675418e-08
Fire_Sprinklers_Sprinklers,7.635203286912755e-08
Fire_Suppression_Encore,7.795024609317607e-08
