Word,Score
Cybersecurity_Awareness_Month,1.0776688454005242e-06
Fire_Extinguisher_Contact,1.0805662962330668e-06
systems_fire_Extinguisher,2.3228380894846676e-06
FIRE_ALARM_SYSTEMS,2.429443651717387e-06
fire_Extinguisher_Training,3.044104372780453e-06
Services_Fire_Alarms,3.7876562508112416e-06
Extinguisher_Training_SECURITY,5.162670840296969e-06
Awareness_Month_Menu,5.2075580102278975e-06
FIRE_ALARM_SPECIALTY,5.661667624244092e-06
COMMUNICATIONS_FIRE_ALARM,6.231307984549058e-06
Month_Menu_Home,6.487317902797061e-06
Awareness_Month_Home,6.939769176144854e-06
Training_SECURITY_SYSTEMS,7.984747366656936e-06
alarms_EMERGENCY_COMMUNICATIONS,8.717571392061165e-06
fire_Extinguisher,8.802080360688813e-06
EMERGENCY_COMMUNICATIONS_FIRE,9.508125211110602e-06
Toggle_Fire_Alarms,1.0205843282009419e-05
FIRE_ALARM,1.0732551581413627e-05
Extinguisher_Fire_Alarms,1.1010702737846077e-05
Fire_Extinguisher_Fire,1.1257366213459496e-05
