Word,Score
Fire_Fighter_Sales,1.1754436870759707e-08
Fire_Fighter,1.4659373640231814e-07
Fire_Fighter_offers,1.6618782467030358e-07
Fire_Protection_Systems,1.863321349704155e-07
fire_extinguisher_training,1.9975568753689272e-07
fire_sprinkler_systems,3.394336471089042e-07
company_Fire_Fighter,4.6734557628454167e-07
Systems_Service_Manager,5.24701604511944e-07
SERVICES_DETECTION_SYSTEMS,6.319049786193519e-07
Fighter_Sales,8.513790432538266e-07
fire_alarm_systems,9.70288169027358e-07
Fire_Extinguisher_Service,1.0591552998761248e-06
services_fire_extinguishers,1.1474182415324684e-06
service_sprinkler_systems,1.2066856090694298e-06
Facebook_Instagram_SERVICES,1.3959723030430272e-06
Service_Company_offers,1.410533615427026e-06
Systems_Fire_Safety,1.5666638631892675e-06
fire_protection,1.724581598529907e-06
Instagram_Facebook_Instagram,1.8813160422657372e-06
Facebook_Instagram_Facebook,1.8815536195462697e-06
