Word,Score
Florida_Fire_Prevention,1.4257593290898415e-07
fire_prevention_systems,5.353749448946156e-07
Fire_Prevention,1.2739776704958352e-06
fire_alarm_system,1.3681285157026156e-06
Fire_College_FIRE,1.4173541922684076e-06
State_Fire_College,1.532886069047754e-06
NICET_State_Fire,1.7883670805557128e-06
FIRE_SPINKLER_SYSTEMS,2.4888152497716076e-06
SOLUTION_EXPERTS_FIRE,2.8289332633695814e-06
Fire_College_FASA,2.861387328889139e-06
fire_suppression_systems,2.9351660743379067e-06
Fire_Prevention_Prevent,3.253932476080638e-06
FIRE_DEPARTMENT_CONNECTION,4.0397228291170085e-06
Chance_Florida_Fire,4.110344086947984e-06
FIRE_PUMP_CONTROLLERS,4.354825902658148e-06
LIFE_SAFETY_SOLUTION,4.3747247905823395e-06
Florida_Fire,4.787261076762973e-06
TRUST_FIRE_DEPARTMENT,4.797170859576447e-06
ENGINEERED_SUPPRESSION_SYSTEMS,4.868937421801274e-06
EXPERTS_FIRE_PUMP,5.171355759406551e-06
