Word,Score
Weld_Shop_Electrical,1.667218850143301e-10
Weld_Shop_Pipe,2.3166918431634148e-10
Services_Mechanical_HVAC,2.480694089252643e-10
Served_Services_Mechanical,4.418361956443583e-10
Added_Safety_Culture,1.6014651610813292e-09
Weld_Shop_Safety,2.863064126160123e-09
Process_Piping_Pipe,4.246365985544498e-09
Shop_Safety_Culture,5.9500172277285574e-09
Sheet_Metal_Fabrication,6.302140430565498e-09
Served_Mechanical_HVAC,7.263549749032966e-09
Project_Gallery_Close,7.310426014040204e-09
Weld_Shop,7.703399096621312e-09
Pipe_and_Weld,8.637220747229587e-09
Industries_Served_Services,1.4590188745368535e-08
Integrated_Project_Delivery,1.4644196516398525e-08
Piping_Pipe,1.5589318128398542e-08
Project_Gallery_Careers,1.6351343318720183e-08
Building_Information_Modeling,1.6592593881050625e-08
Metal_Fabrication,2.1654750983536473e-08
Shop_Electrical,3.0659525591345976e-08
