Word,Score
Addressable_Control_Panels,5.0356968710398994e-09
Gamewell_FCI_Class,1.2341092241421814e-08
alarm_control_panel,1.8773274295369418e-08
Series_BDAs_Gamewell,1.908646899588609e-08
Honeywell_Control_Panels,1.9127559237804152e-08
Farenhyt_Addressable_Panels,2.2487693219993016e-08
Series_Panel,3.598581737006359e-08
Wireless_Control_Panels,3.7682230754666135e-08
Series_Focal_Point,4.362659991197986e-08
Knight_Addressable_Control,4.700346500763581e-08
Telephone_Addressable_Panels,4.969867104797756e-08
BDAs_Gamewell_FCI,5.2244930631025206e-08
Series_control_panel,5.6147055009181924e-08
Notification_Addressable_Control,6.368560680591752e-08
Wireless_Digitize_System,7.292732094891709e-08
fire_alarm_control,7.960279945700247e-08
Control_Panels,8.574348513835832e-08
Mass_Notification_Addressable,1.0607393988416226e-07
Emergency_Control_System,1.2495590365493478e-07
Mass_Notification_Systems,1.3069743462432939e-07
