Word,Score
based_VSC_Fire,2.5444655042509003e-08
Safety_Group_VSC,3.434247572386599e-08
CAROLINA_VSC_Fire,4.602554441912219e-08
Addison_Safety_Group,5.4873535776995306e-08
VSC_Fire,6.895602972253598e-08
ARKANSAS_VSC_Fire,8.559558827137573e-08
Group_VSC_announces,8.8662728807186e-08
Fire_Sprinkler_Association,9.174564497061597e-08
Division_VSC_Fire,1.0243195814006666e-07
CEO_Michael_Meehan,1.1443730825856921e-07
Year_Katie_Meehan,1.239233950089348e-07
American_Fire_Sprinkler,1.2943342491419572e-07
Knox_FDC_Protection,1.409400948976501e-07
Retirement_Plans_VSC,1.62263020732261e-07
Plans_VSC_announces,1.6639544071749303e-07
FDC_Protection_Program,1.6714633683893842e-07
OKLAHOMA_VSC_Fire,1.776002505825865e-07
Virginia_Beach_Learn,2.3519029583310343e-07
Based_Addison_Safety,2.446217941915828e-07
Arkansas_Central_Arkansas,3.0551494207586686e-07
